event_type,n,momentum_rate,reversal_rate,edge,median_mae,avg_time_to_sweep,avg_range_pct
US Prelim Unit Labor Costs q/q,2,100.0,0.0,50.0,3.1666666666666665,1.0,0.02784035957320636
US S&P/CS Composite-20 HPI y/y,1,0.0,100.0,50.0,0.24390243902439024,1.0,0.06800013268318572
US Goods Trade Balance,2,0.0,100.0,50.0,0.45021645021645024,1.0,0.09115817850766444
US Prelim Benchmark Payrolls Revision,4,0.0,100.0,50.0,0.25781172007587105,4.0,0.16257535135394025
US Final Manufacturing PMI,2,0.0,100.0,50.0,0.40114709851551955,1.0,0.09279692171342233
US Fed Monetary Policy Report,1,100.0,0.0,50.0,10.642857142857142,4.0,0.06207599875848002
US Fed Chair Nomination Vote,2,100.0,0.0,50.0,10.479166666666666,1.0,0.03926228981221029
US Industrial Production m/m,1,100.0,0.0,50.0,2.230769230769231,1.0,0.08763060330299965
US Durable Goods Orders m/m,1,0.0,100.0,50.0,0.5490196078431373,1.0,0.07084514085680946
US Housing Starts,1,100.0,0.0,50.0,6.45,3.0,0.031249511726379273
US ADP Weekly Employment Change,2,0.0,100.0,50.0,0.04878048780487805,1.0,0.03184127995700567
US Bank Stress Test Results,1,0.0,100.0,50.0,0.18518518518518517,1.0,0.25067310370439144
US Revised UoM Consumer Sentiment,11,9.1,90.9,40.9,0.4805194805194805,1.3636363636363635,0.16526334862755077
US Fed Gov Nomination Hearings,7,85.7,14.3,35.7,1.9268292682926829,1.1428571428571428,0.14595689930459002
US Chicago PMI,4,25.0,75.0,25.0,0.28609625668449196,1.25,0.05949429328251723
US FOMC Economic Projections,56,71.7,28.3,21.7,1.6385547201336674,1.625,0.4370031238804997
US Prelim UoM Inflation Expectations,10,70.0,30.0,20.0,1.919624472987548,2.0,0.22017471756966994
US 10-y Bond Auction,3,66.7,33.3,16.7,1.25,2.6666666666666665,0.09937234174846304
US Treasury Currency Report,6,33.3,66.7,16.7,0.22771213748657357,1.0,0.08825369743911159
US Presidential Election,3,66.7,33.3,16.7,7.365853658536586,1.0,0.07169364523511525
US 30-y Bond Auction,3,33.3,66.7,16.7,0.926605504587156,3.3333333333333335,0.14531416172318642
US Final GDP q/q,32,65.6,34.4,15.6,1.69375,1.8125,0.10030484858510005
US Fed Chairman Bernanke Testifies,29,65.5,34.5,15.5,2.0,1.4827586206896552,0.1603962740962401
US Prelim GDP q/q,57,35.1,64.9,14.9,0.6103896103896104,3.9649122807017543,0.12828477165404698
US Existing Home Sales,53,64.2,35.8,14.2,1.7142857142857142,1.6981132075471699,0.1618325279061383
US Core PPI m/m,37,63.9,36.1,13.9,1.792,16.216216216216218,0.35446066610310273
US FOMC Press Conference,90,63.3,36.7,13.3,1.627137713771377,4.911111111111111,0.12714962095829366
US CPI m/m,130,61.7,38.3,11.7,1.1126556462000858,7.453846153846154,0.48695005849410955
US Advance GDP q/q,62,38.7,61.3,11.3,0.6385869565217391,3.6129032258064515,0.20077760280193926
US CPI y/y,187,61.0,39.0,11.0,1.16,6.149732620320855,0.37125270316555303
US TIC Long-Term Purchases,23,60.9,39.1,10.9,2.875,2.1739130434782608,0.04742796990442481
US Building Permits,97,60.8,39.2,10.8,1.2142857142857142,2.329896907216495,0.08461388304595832
US Fed Chair Powell Testifies,33,60.6,39.4,10.6,1.2516129032258065,1.9696969696969697,0.18840091765417857
US Fed Announcement,15,40.0,60.0,10.0,0.7317073170731707,4.333333333333333,0.4723292574424288
US Bank Holiday,120,60.0,40.0,10.0,1.4924242424242424,1.675,0.02628940866253432
US Congressional Elections,5,60.0,40.0,10.0,4.258064516129032,1.0,0.11992412883859946
US Core CPI m/m,179,59.1,40.9,9.1,1.131578947368421,6.324022346368715,0.3873208507824649
US Fed Chair Yellen Testifies,24,41.7,58.3,8.3,0.7013888888888888,1.8333333333333333,0.10197261888137345
US Employment Cost Index q/q,12,58.3,41.7,8.3,4.29512893982808,4.833333333333333,0.1965874097891747
US Federal Funds Rate,89,57.5,42.5,7.5,1.173913043478261,1.9325842696629214,0.41361583006697467
US Prelim UoM Consumer Sentiment,119,57.1,42.9,7.1,1.3743589743589744,2.100840336134454,0.18027455582182694
US PPI m/m,163,57.1,42.9,7.1,1.2857142857142858,7.300613496932515,0.1818034345082561
US FOMC Statement,126,57.0,43.0,7.0,1.0921945701357467,1.8095238095238095,0.37532975079639763
US Fed Chairman Powell Testifies,16,43.8,56.2,6.2,0.8256048387096775,1.3125,0.11334466058582844
US Flash Manufacturing PMI,45,44.4,55.6,5.6,0.6643835616438356,1.5333333333333334,0.16877215906144935
US Core PCE Price Index m/m,54,55.6,44.4,5.6,1.2185374149659864,7.0,0.30552537975572663
US Trade Balance,66,45.5,54.5,4.5,0.95,3.772727272727273,0.11403729509747129
US Pending Home Sales m/m,57,54.4,45.6,4.4,1.1428571428571428,2.0,0.12567800726088985
US ISM Services PMI,176,54.3,45.7,4.3,1.1222222222222222,2.0113636363636362,0.18605060446916688
US New Home Sales,56,46.4,53.6,3.6,0.9388888888888889,1.8571428571428572,0.1506008590604922
US CB Consumer Confidence,149,47.0,53.0,3.0,0.9615384615384616,2.4832214765100673,0.15419211690625761
US Crude Oil Inventories,151,53.0,47.0,3.0,1.125,1.6291390728476822,0.08335576261383963
US Unemployment Rate,187,47.4,52.6,2.6,0.8974358974358975,8.427807486631016,0.4789355792230569
US Non-Farm Employment Change,187,47.4,52.6,2.6,0.8974358974358975,8.427807486631016,0.4789355792230569
US Core Retail Sales m/m,187,52.4,47.6,2.4,1.1,4.721925133689839,0.1722973898622562
US Core Durable Goods Orders m/m,111,47.7,52.3,2.3,1.0,3.7837837837837838,0.11153086127064454
US Unemployment Claims,546,52.3,47.7,2.3,1.1143790849673203,3.7362637362637363,0.13386204324119086
US Retail Sales m/m,186,52.2,47.8,2.2,1.0970588235294119,4.763440860215054,0.17390308723404094
US Empire State Manufacturing Index,23,47.8,52.2,2.2,0.7952941176470588,2.0,0.23469651472707673
US ADP Non-Farm Employment Change,168,51.8,48.2,1.8,1.0500894454382825,3.142857142857143,0.10579763203614549
US Philly Fed Manufacturing Index,89,51.7,48.3,1.7,1.0350877192982457,2.101123595505618,0.16400286247337018
US ISM Manufacturing PMI,185,51.6,48.4,1.6,1.0769230769230769,1.7891891891891891,0.2245821010159157
US Flash Services PMI,45,48.9,51.1,1.1,0.9908675799086758,1.9333333333333333,0.21400624319397005
US FOMC Meeting Minutes,119,49.1,50.9,0.9,0.8729096989966555,1.9327731092436975,0.16479678020451138
US JOLTS Job Openings,56,50.9,49.1,0.9,0.9995609533584218,2.4285714285714284,0.2648506475400038
US Average Hourly Earnings m/m,126,50.8,49.2,0.8,0.9529915703341663,5.317460317460317,0.455696669941055
US Personal Spending m/m,2,50.0,50.0,0.0,1.1785714285714286,3.0,0.05612782207807883
